epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,611.031,0.9034,0.5782,0.94603,0.96471,0.7208,0.84026,0.54065,1.00997,0.58647,0.90423,0.000996313,0.000996313,0.000996313
43,625.725,0.87516,0.5585,0.93375,0.83643,0.80911,0.84798,0.53832,1.04771,0.63516,0.92221,0.000990125,0.000990125,0.000990125
44,640.239,0.90165,0.55408,0.94208,0.88194,0.75981,0.84153,0.52438,1.05864,0.71209,0.91681,0.000983938,0.000983938,0.000983938
45,654.521,0.90149,0.583,0.93642,0.88763,0.71051,0.82704,0.51249,1.09381,0.71017,0.92901,0.00097775,0.00097775,0.00097775
46,668.801,0.86999,0.56203,0.92832,0.84891,0.76937,0.82805,0.52804,1.07881,0.68026,0.91649,0.000971562,0.000971562,0.000971562
47,682.978,0.87858,0.55064,0.93128,0.84431,0.81811,0.86723,0.56931,1.01745,0.57743,0.90434,0.000965375,0.000965375,0.000965375
48,697.351,0.87067,0.53894,0.92893,0.89705,0.7319,0.83873,0.54691,1.01303,0.66804,0.89932,0.000959187,0.000959187,0.000959187
49,711.618,0.84455,0.53877,0.93298,0.84325,0.82071,0.85974,0.5558,1.02793,0.66845,0.9197,0.000953,0.000953,0.000953
50,725.932,0.85036,0.53117,0.93036,0.83081,0.81921,0.85347,0.55338,1.03394,0.58802,0.90996,0.000946812,0.000946812,0.000946812
51,740.2,0.8445,0.54504,0.92124,0.88147,0.77489,0.83256,0.53001,1.00872,0.64932,0.89814,0.000940625,0.000940625,0.000940625
52,754.61,0.8473,0.52687,0.91609,0.89929,0.75072,0.83638,0.5522,1.03658,0.66152,0.91475,0.000934438,0.000934438,0.000934438
53,768.941,0.8226,0.51371,0.91614,0.89599,0.78786,0.85027,0.54291,1.03443,0.6065,0.91396,0.00092825,0.00092825,0.00092825
54,783.256,0.82163,0.51916,0.90716,0.89452,0.78584,0.85008,0.5329,1.10378,0.66602,0.93543,0.000922063,0.000922063,0.000922063
55,797.484,0.82016,0.51523,0.91523,0.90068,0.7778,0.84136,0.53555,1.08082,0.57059,0.91608,0.000915875,0.000915875,0.000915875
56,811.768,0.82705,0.50826,0.90998,0.90317,0.80042,0.86001,0.54931,1.04709,0.62438,0.92648,0.000909688,0.000909688,0.000909688
57,825.957,0.80974,0.51004,0.91947,0.93548,0.74617,0.84844,0.54564,1.04722,0.56966,0.93024,0.0009035,0.0009035,0.0009035
58,840.102,0.83378,0.50901,0.92265,0.9286,0.74772,0.86015,0.54638,1.01165,0.58614,0.9156,0.000897313,0.000897313,0.000897313
59,854.407,0.80541,0.50652,0.90766,0.91441,0.75269,0.83937,0.52188,1.08229,0.63623,0.92792,0.000891125,0.000891125,0.000891125
60,868.713,0.82206,0.51295,0.91428,0.84687,0.77278,0.83083,0.5425,1.02004,0.65352,0.91269,0.000884938,0.000884938,0.000884938
61,883.103,0.82381,0.50534,0.91782,0.87115,0.73637,0.83948,0.52884,1.06941,0.65081,0.91463,0.00087875,0.00087875,0.00087875
62,897.413,0.80269,0.50103,0.91127,0.88444,0.78378,0.8533,0.54642,1.01293,0.61262,0.90559,0.000872563,0.000872563,0.000872563
63,911.837,0.777,0.49293,0.89751,0.9197,0.76359,0.8572,0.56474,1.011,0.65103,0.90888,0.000866375,0.000866375,0.000866375
64,926.505,0.78673,0.49368,0.90664,0.86204,0.78519,0.85052,0.56867,0.98334,0.59393,0.90094,0.000860188,0.000860188,0.000860188
65,941.063,0.78639,0.48669,0.90591,0.88405,0.76411,0.86109,0.56293,1.00673,0.62374,0.90256,0.000854,0.000854,0.000854
66,955.336,0.77683,0.48974,0.90619,0.91646,0.70688,0.83757,0.52449,1.06463,0.71303,0.90858,0.000847813,0.000847813,0.000847813
67,969.606,0.77634,0.49247,0.90467,0.93376,0.74054,0.84125,0.5587,1.032,0.66393,0.90444,0.000841625,0.000841625,0.000841625
68,983.908,0.78401,0.48747,0.90678,0.9211,0.75651,0.84956,0.55399,1.02757,0.63929,0.89767,0.000835438,0.000835438,0.000835438
69,998.121,0.77994,0.48303,0.91068,0.89375,0.80101,0.87207,0.56851,0.99192,0.56316,0.90539,0.00082925,0.00082925,0.00082925
70,1012.36,0.75672,0.47056,0.90406,0.90074,0.76628,0.8435,0.54425,1.0116,0.58963,0.90514,0.000823063,0.000823063,0.000823063
71,1026.56,0.75606,0.48048,0.90354,0.86592,0.80614,0.85897,0.54739,1.08796,0.60964,0.91353,0.000816875,0.000816875,0.000816875
72,1040.83,0.7479,0.47488,0.89884,0.88811,0.75102,0.82769,0.54001,1.06159,0.62019,0.92015,0.000810688,0.000810688,0.000810688
73,1055.2,0.74977,0.47277,0.89722,0.94125,0.74036,0.83857,0.54412,1.06428,0.64459,0.9114,0.0008045,0.0008045,0.0008045
74,1069.5,0.7433,0.47438,0.89432,0.91787,0.77544,0.85273,0.54994,1.04785,0.59403,0.90668,0.000798313,0.000798313,0.000798313
75,1083.75,0.7365,0.45801,0.8867,0.88663,0.79149,0.85945,0.54869,1.05608,0.62448,0.92579,0.000792125,0.000792125,0.000792125
76,1098.14,0.74189,0.46081,0.89915,0.94085,0.75902,0.84548,0.55688,1.04218,0.59676,0.9226,0.000785938,0.000785938,0.000785938
77,1112.44,0.74637,0.47359,0.89656,0.91898,0.80267,0.86279,0.55461,1.07237,0.59802,0.91593,0.00077975,0.00077975,0.00077975
78,1126.8,0.75452,0.46984,0.90009,0.85709,0.79448,0.85279,0.55935,1.02672,0.59924,0.9022,0.000773563,0.000773563,0.000773563
79,1141.15,0.74254,0.45964,0.88826,0.87102,0.82417,0.87488,0.55881,1.03043,0.58045,0.90598,0.000767375,0.000767375,0.000767375
80,1155.56,0.7001,0.43457,0.8813,0.91231,0.77752,0.85878,0.54906,0.99828,0.60314,0.88805,0.000761188,0.000761188,0.000761188
81,1169.86,0.7218,0.45319,0.8882,0.88688,0.79596,0.87077,0.55817,1.03937,0.58164,0.88939,0.000755,0.000755,0.000755
82,1186.58,0.71578,0.44183,0.88558,0.92605,0.75409,0.85409,0.55451,1.06667,0.60083,0.90066,0.000748813,0.000748813,0.000748813
83,1202.65,0.69073,0.43359,0.87611,0.89095,0.77471,0.86686,0.54795,1.05876,0.63035,0.90298,0.000742625,0.000742625,0.000742625
84,1217.78,0.71077,0.449,0.88043,0.87883,0.78362,0.85896,0.56105,1.00691,0.58491,0.90704,0.000736438,0.000736438,0.000736438
85,1232.82,0.72256,0.44368,0.87854,0.95256,0.76554,0.87019,0.5691,1.01963,0.60024,0.89259,0.00073025,0.00073025,0.00073025
86,1247.24,0.69683,0.43152,0.88151,0.87533,0.80033,0.84871,0.55929,1.06039,0.5956,0.90123,0.000724062,0.000724062,0.000724062
87,1260.98,0.7169,0.45351,0.89272,0.92147,0.79628,0.85923,0.5644,1.03157,0.62919,0.90884,0.000717875,0.000717875,0.000717875
88,1274.66,0.71005,0.45221,0.88252,0.89787,0.81891,0.85988,0.55237,1.01622,0.6303,0.89682,0.000711687,0.000711687,0.000711687
89,1288.14,0.6955,0.43444,0.88245,0.88037,0.80454,0.85287,0.55992,1.01568,0.56662,0.90022,0.0007055,0.0007055,0.0007055
90,1301.72,0.68901,0.42915,0.87723,0.87704,0.8082,0.87492,0.57207,0.99221,0.5525,0.89385,0.000699312,0.000699312,0.000699312
91,1315.56,0.68988,0.4442,0.88308,0.86795,0.76985,0.85088,0.56115,1.02413,0.63043,0.89769,0.000693125,0.000693125,0.000693125
92,1329.87,0.68747,0.42372,0.87561,0.93487,0.77314,0.85446,0.55995,0.99711,0.59138,0.89567,0.000686937,0.000686937,0.000686937
93,1343.81,0.68644,0.43591,0.8716,0.89322,0.79785,0.86207,0.55396,1.01894,0.61409,0.89815,0.00068075,0.00068075,0.00068075
94,1357.64,0.68193,0.42684,0.87129,0.94821,0.74084,0.8381,0.57559,0.97788,0.59053,0.8815,0.000674562,0.000674562,0.000674562
95,1371.51,0.65952,0.41022,0.87211,0.82636,0.78883,0.85972,0.55858,1.00298,0.64247,0.8857,0.000668375,0.000668375,0.000668375
96,1385.36,0.66346,0.42687,0.87717,0.91931,0.77786,0.86918,0.5645,0.96249,0.61166,0.88141,0.000662188,0.000662188,0.000662188
97,1399.25,0.68275,0.43406,0.8716,0.91255,0.7656,0.84297,0.56688,0.9917,0.56517,0.89222,0.000656,0.000656,0.000656
98,1413.72,0.67248,0.42832,0.86931,0.94039,0.77667,0.85392,0.55768,1.01234,0.54488,0.89656,0.000649813,0.000649813,0.000649813
99,1428.01,0.66315,0.41734,0.87341,0.87519,0.81527,0.87661,0.57287,0.97973,0.56953,0.88906,0.000643625,0.000643625,0.000643625
100,1442.34,0.65212,0.41646,0.87504,0.92057,0.79062,0.87154,0.57445,1.0104,0.59923,0.90619,0.000637437,0.000637437,0.000637437
101,1456.73,0.65359,0.41373,0.86824,0.92588,0.77914,0.87133,0.57048,1.01487,0.58644,0.90181,0.00063125,0.00063125,0.00063125
102,1471.06,0.66179,0.42172,0.87715,0.90297,0.79837,0.87333,0.56655,1.00061,0.54002,0.89183,0.000625062,0.000625062,0.000625062
103,1485.34,0.64879,0.41279,0.87481,0.89683,0.81464,0.87706,0.57243,1.00596,0.56081,0.89899,0.000618875,0.000618875,0.000618875
104,1499.61,0.66459,0.41698,0.87597,0.93368,0.82004,0.87701,0.58272,0.98113,0.54104,0.89057,0.000612687,0.000612687,0.000612687
105,1513.93,0.64755,0.40564,0.87078,0.84906,0.79638,0.85225,0.56465,1.01798,0.61085,0.90424,0.0006065,0.0006065,0.0006065
106,1528.22,0.64321,0.40242,0.86703,0.8786,0.76246,0.84164,0.56374,1.00753,0.694,0.89452,0.000600313,0.000600313,0.000600313
107,1542.42,0.66097,0.4139,0.86922,0.91519,0.7581,0.85118,0.55924,1.01028,0.60725,0.89263,0.000594125,0.000594125,0.000594125
108,1556.71,0.6359,0.40578,0.86637,0.89934,0.79011,0.85728,0.55567,1.04476,0.61108,0.89758,0.000587938,0.000587938,0.000587938
109,1570.95,0.62255,0.39724,0.86261,0.91217,0.7461,0.84592,0.56939,1.00462,0.62113,0.89247,0.00058175,0.00058175,0.00058175
110,1585.2,0.63135,0.39162,0.85931,0.8836,0.80318,0.85995,0.56746,1.01503,0.5903,0.90139,0.000575563,0.000575563,0.000575563
111,1599.48,0.62183,0.38678,0.85866,0.89593,0.77294,0.86063,0.57415,0.98307,0.63568,0.89126,0.000569375,0.000569375,0.000569375
112,1613.75,0.6259,0.39206,0.87011,0.88819,0.81479,0.88173,0.59011,0.96791,0.5966,0.89298,0.000563187,0.000563187,0.000563187
113,1628.06,0.62214,0.38533,0.86019,0.86231,0.82434,0.88158,0.59168,0.97988,0.58916,0.89506,0.000557,0.000557,0.000557
114,1642.47,0.60767,0.38463,0.8548,0.85484,0.81856,0.86062,0.56225,1.00047,0.60192,0.90523,0.000550813,0.000550813,0.000550813
115,1656.82,0.61517,0.38523,0.85801,0.93488,0.76784,0.86441,0.56679,0.99344,0.60763,0.88888,0.000544625,0.000544625,0.000544625
116,1671.22,0.61286,0.38222,0.85908,0.85579,0.81275,0.85928,0.57079,0.9791,0.60388,0.88494,0.000538438,0.000538438,0.000538438
117,1685.51,0.61582,0.38701,0.86022,0.93624,0.79651,0.86672,0.57803,0.98023,0.58973,0.8959,0.00053225,0.00053225,0.00053225
118,1699.91,0.61389,0.39139,0.86435,0.9149,0.79575,0.8559,0.56215,0.98526,0.55671,0.89821,0.000526063,0.000526063,0.000526063
119,1714.52,0.61095,0.39089,0.85945,0.92447,0.80378,0.88308,0.58037,1.00072,0.55336,0.89595,0.000519875,0.000519875,0.000519875
120,1728.8,0.59748,0.37892,0.85972,0.94451,0.79538,0.868,0.5819,0.96438,0.60255,0.88894,0.000513688,0.000513688,0.000513688
121,1743.23,0.59132,0.37972,0.85326,0.91035,0.80091,0.85427,0.57145,0.99646,0.62685,0.89834,0.0005075,0.0005075,0.0005075
122,1757.4,0.59978,0.38319,0.86372,0.92609,0.79421,0.8662,0.57436,0.96062,0.60074,0.88679,0.000501313,0.000501313,0.000501313
123,1771.62,0.60417,0.3817,0.85794,0.91355,0.80927,0.8674,0.5668,1.05222,0.62467,0.90848,0.000495125,0.000495125,0.000495125
