epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,530.665,0.89024,0.54229,0.92631,0.84564,0.79935,0.83363,0.50708,1.17776,0.75983,0.96201,0.000742625,0.000742625,0.000742625
43,543.144,0.88164,0.52732,0.92515,0.86478,0.74038,0.82286,0.49416,1.19566,0.80566,0.95504,0.00073025,0.00073025,0.00073025
44,555.723,0.87687,0.52445,0.93026,0.9126,0.73369,0.83761,0.50906,1.17604,0.7056,0.95089,0.000717875,0.000717875,0.000717875
45,568.181,0.88304,0.53575,0.93054,0.85151,0.73831,0.8177,0.49415,1.18798,0.78251,0.96341,0.0007055,0.0007055,0.0007055
46,580.809,0.87325,0.52684,0.93052,0.90772,0.72634,0.80186,0.49758,1.1443,0.74785,0.94722,0.000693125,0.000693125,0.000693125
47,593.216,0.85373,0.52355,0.92903,0.89958,0.73814,0.81953,0.50321,1.21527,0.68667,0.94938,0.00068075,0.00068075,0.00068075
48,605.725,0.8563,0.51193,0.92251,0.90431,0.73525,0.82249,0.51308,1.17391,0.72573,0.95191,0.000668375,0.000668375,0.000668375
49,618.21,0.83262,0.50161,0.91579,0.89772,0.74964,0.84746,0.51663,1.18246,0.77418,0.96202,0.000656,0.000656,0.000656
50,630.831,0.84814,0.50816,0.92162,0.82783,0.79296,0.83487,0.51554,1.20023,0.69234,0.96664,0.000643625,0.000643625,0.000643625
51,643.15,0.81249,0.49123,0.91745,0.87285,0.75579,0.85182,0.52507,1.18203,0.67934,0.95103,0.00063125,0.00063125,0.00063125
52,655.637,0.82073,0.49467,0.91778,0.92152,0.73655,0.85672,0.53154,1.15737,0.66575,0.95886,0.000618875,0.000618875,0.000618875
53,667.95,0.82993,0.50222,0.91939,0.87831,0.76624,0.83932,0.53663,1.14785,0.6576,0.94735,0.0006065,0.0006065,0.0006065
54,680.368,0.8066,0.48244,0.90316,0.87842,0.71755,0.85188,0.52563,1.09089,0.77047,0.92614,0.000594125,0.000594125,0.000594125
55,692.71,0.82779,0.49474,0.91381,0.81639,0.8134,0.86567,0.53892,1.1182,0.67372,0.95182,0.00058175,0.00058175,0.00058175
56,705.195,0.78974,0.47681,0.90733,0.91499,0.79994,0.87762,0.55491,1.13093,0.65907,0.94761,0.000569375,0.000569375,0.000569375
57,717.477,0.7893,0.4727,0.89884,0.89206,0.72907,0.83226,0.49964,1.22209,0.73304,0.97336,0.000557,0.000557,0.000557
58,729.938,0.79042,0.47231,0.90321,0.88576,0.78865,0.85897,0.52228,1.19434,0.72787,0.95749,0.000544625,0.000544625,0.000544625
59,742.159,0.75721,0.45936,0.89838,0.92367,0.792,0.87992,0.52701,1.18203,0.64387,0.93802,0.00053225,0.00053225,0.00053225
60,754.479,0.7741,0.47071,0.89686,0.83974,0.82002,0.87264,0.54476,1.17462,0.664,0.96511,0.000519875,0.000519875,0.000519875
61,766.828,0.78441,0.46939,0.89943,0.87137,0.77116,0.85211,0.52943,1.20086,0.71373,0.9525,0.0005075,0.0005075,0.0005075
62,779.304,0.73907,0.452,0.89055,0.90061,0.7629,0.86514,0.52372,1.16575,0.6807,0.9409,0.000495125,0.000495125,0.000495125
63,791.576,0.73606,0.44923,0.87992,0.86485,0.8165,0.87817,0.54121,1.13179,0.65558,0.95051,0.00048275,0.00048275,0.00048275
64,803.872,0.72822,0.451,0.89253,0.91751,0.7649,0.86377,0.53952,1.16772,0.56863,0.94899,0.000470375,0.000470375,0.000470375
65,816.188,0.74606,0.45473,0.88942,0.89457,0.81241,0.87617,0.52763,1.11999,0.62708,0.95019,0.000458,0.000458,0.000458
66,828.501,0.73509,0.44524,0.88311,0.82455,0.81322,0.85188,0.50944,1.14801,0.68981,0.94979,0.000445625,0.000445625,0.000445625
67,840.811,0.72044,0.43555,0.88625,0.83828,0.78355,0.85354,0.5151,1.17599,0.66614,0.96016,0.00043325,0.00043325,0.00043325
68,853.22,0.71052,0.43363,0.8829,0.88947,0.75281,0.83199,0.51272,1.17399,0.67744,0.96025,0.000420875,0.000420875,0.000420875
69,865.522,0.72154,0.43103,0.88708,0.90858,0.73147,0.85154,0.53541,1.14966,0.67788,0.95648,0.0004085,0.0004085,0.0004085
70,878.046,0.71134,0.42939,0.88137,0.90054,0.78174,0.87455,0.54682,1.13465,0.65512,0.9369,0.000396125,0.000396125,0.000396125
71,890.446,0.73202,0.43957,0.88382,0.88222,0.77898,0.86043,0.55097,1.09785,0.61662,0.94897,0.00038375,0.00038375,0.00038375
72,902.836,0.71954,0.43285,0.88712,0.89035,0.74692,0.84122,0.5343,1.11626,0.6914,0.9256,0.000371375,0.000371375,0.000371375
73,915.187,0.67612,0.41044,0.87716,0.9092,0.73465,0.85582,0.54494,1.08739,0.67382,0.93739,0.000359,0.000359,0.000359
74,927.555,0.69295,0.41266,0.87622,0.87218,0.81028,0.87832,0.54276,1.10471,0.6538,0.94363,0.000346625,0.000346625,0.000346625
75,939.877,0.68871,0.41531,0.87997,0.90326,0.77002,0.86072,0.555,1.10051,0.67304,0.95162,0.00033425,0.00033425,0.00033425
76,952.306,0.67265,0.41498,0.88078,0.89927,0.75847,0.85634,0.53027,1.1604,0.67884,0.96486,0.000321875,0.000321875,0.000321875
